/* DATA DESCRIPTION:
Event(s):	GeoB6403-4 * LATITUDE: -40.013300 * LONGITUDE: -23.365200 * DATE/TIME: 2000-02-17T20:49:00 * ELEVATION: -4226.0 m * Recovery: 0.14 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: MultiCorer (MUC) * COMMENT: 4 large, 4 small tubes filled
	GeoB6404-3 * LATITUDE: -41.505800 * LONGITUDE: -23.464800 * DATE/TIME: 2000-02-18T10:17:00 * ELEVATION: -4223.0 m * Recovery: 0.11 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: MultiCorer (MUC) * COMMENT: 4 large, 4 small tubes filled, CTD at 50 m
	GeoB6405-8 * LATITUDE: -42.000000 * LONGITUDE: -21.853200 * DATE/TIME: 2000-02-19T07:20:00 * ELEVATION: -3863.0 m * Recovery: 0.3 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: MultiCorer (MUC) * COMMENT: all tubes filled, IRD/dropstones
	GeoB6406-1 * LATITUDE: -42.000300 * LONGITUDE: -20.784000 * DATE/TIME: 2000-02-19T14:02:00 * ELEVATION: -3514.0 m * Recovery: 0.2 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: MultiCorer (MUC) * COMMENT: all tubes filled, CTD at 50 m
	GeoB6407-2 * LATITUDE: -42.044800 * LONGITUDE: -19.500000 * DATE/TIME: 2000-02-20T03:17:00 * ELEVATION: -3384.0 m * Recovery: 0.13 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: MultiCorer (MUC) * COMMENT: all tubes filled, one small & one large tube partly washed out, CTD at 50 m
	GeoB6409-2 * LATITUDE: -44.506800 * LONGITUDE: -21.716800 * DATE/TIME: 2000-02-21T17:32:00 * ELEVATION: -4296.0 m * Recovery: 0.11 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: MultiCorer (MUC) * COMMENT: 2 large, 4 small tubes filled, CTD at 50 m
	GeoB6410-1 * LATITUDE: -44.516800 * LONGITUDE: -20.900000 * DATE/TIME: 2000-02-22T04:27:00 * ELEVATION: -4038.0 m * Recovery: 0.13 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: MultiCorer (MUC) * COMMENT: 4 large, 4 small tubes filled, CTD at 50 m
	GeoB6411-4 * LATITUDE: -44.363300 * LONGITUDE: -18.352000 * DATE/TIME: 2000-02-23T04:02:00 * ELEVATION: -3893.0 m * Recovery: 0.39 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: geology and geophysics
	GeoB6416-2 * LATITUDE: -39.954500 * LONGITUDE: -18.163300 * DATE/TIME: 2000-02-26T18:55:00 * ELEVATION: -3525.0 m * Recovery: 0.38 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: geology and geophysics, CTD at 50 m
	GeoB6419-1 * LATITUDE: -37.774000 * LONGITUDE: -21.864200 * DATE/TIME: 2000-02-28T16:56:00 * ELEVATION: -3568.0 m * Recovery: 0.36 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: CTD did not register
	GeoB6420-2 * LATITUDE: -37.158300 * LONGITUDE: -22.148300 * DATE/TIME: 2000-02-29T05:35:00 * ELEVATION: -3998.0 m * Recovery: 0.37 m * LOCATION: Central South Atlantic * CAMPAIGN: M46/4 (URI: https://doi.org/10.2312/cr_m46) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: geology and geophysics, CTD at 50 m
	NBP98-02-3MC2 * LATITUDE: -66.140000 * LONGITUDE: -169.630000 * LOCATION: South Pacific Ocean * CAMPAIGN: NBP98-02 * BASIS: Nathaniel B. Palmer * METHOD/DEVICE: MultiCorer (MUC)
	NBP98-02-4MC1 * LATITUDE: -64.200000 * LONGITUDE: -170.080000 * LOCATION: South Pacific Ocean * CAMPAIGN: NBP98-02 * BASIS: Nathaniel B. Palmer * METHOD/DEVICE: MultiCorer (MUC)
	NBP98-02-5MC2 * LATITUDE: -63.170000 * LONGITUDE: -169.850000 * LOCATION: South Pacific Ocean * CAMPAIGN: NBP98-02 * BASIS: Nathaniel B. Palmer * METHOD/DEVICE: MultiCorer (MUC)
	PS63/024-1 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_024-stationcard.pdf) * LATITUDE: -47.028400 * LONGITUDE: 4.875200 * DATE/TIME: 2002-11-28T15:03:00 * ELEVATION: -4549.0 m * LOCATION: South Atlantic Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	PS63/026-2 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_026-stationcard.pdf) * LATITUDE: -50.250500 * LONGITUDE: 1.418300 * DATE/TIME: 2002-11-29T22:05:00 * ELEVATION: -3863.0 m * LOCATION: South Atlantic Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	PS63/027-2 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_027-stationcard.pdf) * LATITUDE: -51.003400 * LONGITUDE: 0.521900 * DATE/TIME: 2002-11-30T07:43:00 * ELEVATION: -1342.0 m * Recovery: 0.1 m * LOCATION: South Atlantic Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS63/028-2 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_028-stationcard.pdf) * LATITUDE: -52.019600 * LONGITUDE: -0.101200 * DATE/TIME: 2002-12-01T01:12:00 * ELEVATION: -3011.0 m * Recovery: 0.35 m * LOCATION: South Atlantic Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS63/033-5 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_033-stationcard.pdf) * LATITUDE: -54.520700 * LONGITUDE: -0.007300 * DATE/TIME: 2002-12-03T16:42:00 * ELEVATION: -1632.0 m * Recovery: 0.2 m * LOCATION: South Atlantic Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS63/035-2 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_035-stationcard.pdf) * LATITUDE: -55.490800 * LONGITUDE: -0.090400 * DATE/TIME: 2002-12-04T04:53:00 * ELEVATION: -3427.0 m * Recovery: 0.2 m * LOCATION: South Atlantic Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS63/037-4 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_037-stationcard.pdf) * LATITUDE: -56.927100 * LONGITUDE: 0.098600 * DATE/TIME: 2002-12-05T02:45:00 * ELEVATION: -3887.0 m * Recovery: 0.24 m * LOCATION: South Atlantic Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS63/039-3 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_039-stationcard.pdf) * LATITUDE: -57.527300 * LONGITUDE: -0.122800 * DATE/TIME: 2002-12-05T20:19:00 * ELEVATION: -3989.0 m * Recovery: 0.32 m * LOCATION: South Atlantic Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS63/041-2 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_041-stationcard.pdf) * LATITUDE: -58.481500 * LONGITUDE: 0.083500 * DATE/TIME: 2002-12-06T06:35:00 * ELEVATION: -3839.0 m * Recovery: 0.33 m * LOCATION: South Atlantic Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS63/042-4 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_042-stationcard.pdf) * LATITUDE: -59.045100 * LONGITUDE: 0.069600 * DATE/TIME: 2002-12-07T03:15:00 * ELEVATION: -4667.0 m * Recovery: 0.41 m * LOCATION: South Atlantic Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS63/043-2 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_043-stationcard.pdf) * LATITUDE: -59.465300 * LONGITUDE: -0.006500 * DATE/TIME: 2002-12-07T15:36:00 * ELEVATION: -4580.0 m * Recovery: 0.36 m * LOCATION: South Atlantic Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS63/047-2 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_047-stationcard.pdf) * LATITUDE: -60.972700 * LONGITUDE: -0.008900 * DATE/TIME: 2002-12-08T15:06:00 * ELEVATION: -5423.0 m * Recovery: 0.37 m * LOCATION: Weddell Sea * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS63/064-6 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_064-stationcard.pdf) * LATITUDE: -64.994200 * LONGITUDE: 0.045000 * DATE/TIME: 2002-12-19T17:43:00 * ELEVATION: -3698.0 m * Recovery: 0.22 m * LOCATION: South Atlantic Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MiniCorer (MIC) (URI: hdl:10013/epic.38973.d002)
	PS63/071-1 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_071-stationcard.pdf) * LATITUDE: -61.774300 * LONGITUDE: 2.069100 * DATE/TIME: 2002-12-21T11:16:00 * ELEVATION: -5362.0 m * LOCATION: South Atlantic Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	PS63/078-1 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_078-stationcard.pdf) * LATITUDE: -64.111000 * LONGITUDE: 8.646400 * DATE/TIME: 2002-12-23T06:20:00 * ELEVATION: -4971.0 m * LOCATION: South Atlantic Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	PS63/083-2 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_083-stationcard.pdf) * LATITUDE: -65.671700 * LONGITUDE: 13.359300 * DATE/TIME: 2002-12-25T10:11:00 * ELEVATION: -2658.0 m * LOCATION: South Atlantic Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS63/095-3 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_095-stationcard.pdf) * LATITUDE: -69.889000 * LONGITUDE: 25.212600 * DATE/TIME: 2002-12-30T17:12:00 * ELEVATION: -1123.0 m * LOCATION: Riiser-Larsen Sea * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS63/126-3 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_126-stationcard.pdf) * LATITUDE: -62.994400 * LONGITUDE: 22.966800 * DATE/TIME: 2003-01-09T09:55:00 * ELEVATION: -5147.0 m * LOCATION: Indian Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS63/130-2 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_130-stationcard.pdf) * LATITUDE: -61.499500 * LONGITUDE: 23.000900 * DATE/TIME: 2003-01-10T05:18:00 * ELEVATION: -5220.0 m * LOCATION: Indian Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS63/136-2 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_136-stationcard.pdf) * LATITUDE: -59.323800 * LONGITUDE: 22.992700 * DATE/TIME: 2003-01-11T20:13:00 * ELEVATION: -5429.0 m * LOCATION: Indian Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS63/141-2 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_141-stationcard.pdf) * LATITUDE: -57.515100 * LONGITUDE: 22.984400 * DATE/TIME: 2003-01-13T07:12:00 * ELEVATION: -5451.0 m * LOCATION: Indian Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS63/143-2 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_143-stationcard.pdf) * LATITUDE: -56.507100 * LONGITUDE: 23.014100 * DATE/TIME: 2003-01-13T20:14:00 * ELEVATION: -4872.0 m * LOCATION: Indian Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS63/146-1 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_146-stationcard.pdf) * LATITUDE: -55.320700 * LONGITUDE: 22.999200 * DATE/TIME: 2003-01-14T10:43:00 * ELEVATION: -4797.0 m * LOCATION: Indian Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS63/149-2 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS63_149-stationcard.pdf) * LATITUDE: -53.954200 * LONGITUDE: 23.047700 * DATE/TIME: 2003-01-15T06:08:00 * ELEVATION: -3881.0 m * LOCATION: Indian Ocean * CAMPAIGN: ANT-XX/2 (PS63 06AQ200211_2) (URI: https://doi.org/10.2312/BzPM_0495_2005) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS67/182-2 * LATITUDE: -60.792400 * LONGITUDE: -45.494100 * DATE/TIME: 2005-04-12T17:29:00 * ELEVATION: -363.0 m * LOCATION: Amundsen Sea * CAMPAIGN: ANT-XXII/4 (PS67) (URI: https://doi.org/10.2312/BzPM_0537_2006) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS67/185-1 * LATITUDE: -59.585000 * LONGITUDE: -38.096700 * DATE/TIME: 2005-04-13T21:42:00 * ELEVATION: -2944.0 m * LOCATION: Amundsen Sea * CAMPAIGN: ANT-XXII/4 (PS67) (URI: https://doi.org/10.2312/BzPM_0537_2006) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS67/197-4 * LATITUDE: -55.143200 * LONGITUDE: -44.094100 * DATE/TIME: 2005-04-23T20:44:00 * ELEVATION: -3822.0 m * LOCATION: Amundsen Sea * CAMPAIGN: ANT-XXII/4 (PS67) (URI: https://doi.org/10.2312/BzPM_0537_2006) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS67/205-4 * LATITUDE: -56.701300 * LONGITUDE: -43.360600 * DATE/TIME: 2005-04-28T13:32:00 * ELEVATION: -3787.0 m * LOCATION: Amundsen Sea * CAMPAIGN: ANT-XXII/4 (PS67) (URI: https://doi.org/10.2312/BzPM_0537_2006) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS67/206-3 * LATITUDE START: -57.407700 * LONGITUDE START: -43.462100 * LATITUDE END: -57.410300 * LONGITUDE END: -43.458500 * DATE/TIME START: 2005-04-28T22:09:00 * DATE/TIME END: 2005-04-28T22:54:00 * ELEVATION START: -3220.0 m * ELEVATION END: -3212.0 m * LOCATION: Amundsen Sea * CAMPAIGN: ANT-XXII/4 (PS67) (URI: https://doi.org/10.2312/BzPM_0537_2006) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS67/219-3 * LATITUDE START: -57.221000 * LONGITUDE START: -42.467800 * LATITUDE END: -57.220300 * LONGITUDE END: -42.467800 * DATE/TIME START: 2005-05-10T13:44:00 * DATE/TIME END: 2005-05-10T14:20:00 * ELEVATION START: -3617.0 m * ELEVATION END: -3616.0 m * LOCATION: Amundsen Sea * CAMPAIGN: ANT-XXII/4 (PS67) (URI: https://doi.org/10.2312/BzPM_0537_2006) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS67/224-3 * LATITUDE: -57.944400 * LONGITUDE: -44.195600 * DATE/TIME: 2005-05-14T07:09:00 * ELEVATION: -2867.0 m * LOCATION: Amundsen Sea * CAMPAIGN: ANT-XXII/4 (PS67) (URI: https://doi.org/10.2312/BzPM_0537_2006) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: MultiCorer (MUC)
	PS69/269-1 * LATITUDE: -73.219300 * LONGITUDE: -115.577000 * DATE/TIME: 2006-03-04T10:13:00 * ELEVATION: -850.0 m * Recovery: 0.3 m * LOCATION: Amundsen Sea * CAMPAIGN: ANT-XXIII/4 (PS69) (URI: https://doi.org/10.2312/BzPM_0557_2007) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: 1 surface sample sedimentology; 1 surface sample archive; 2 core section: 0-0.48 m, 1 frozen subcore; 13 discrete samples from 0-41 cmbsf and 12 discrete samples from 0-36 cmbsf; olive (5Y 4/4) mud, greenish material (pellets?), 2 pantopods, several polychaetic worms on top
	PS69/272-3 (URI: https://store.pangaea.de/Images/Cores/PS-stationcard/PS69_272-stationcard.pdf) * LATITUDE: -73.892100 * LONGITUDE: -118.478300 * DATE/TIME: 2006-03-06T17:24:00 * ELEVATION: -1576.0 m * Recovery: 0.32 m * LOCATION: Amundsen Sea * CAMPAIGN: ANT-XXIII/4 (PS69) (URI: https://doi.org/10.2312/BzPM_0557_2007) * BASIS: Polarstern (URI: https://doi.org/10.17815/jlsrf-3-163) * METHOD/DEVICE: Giant box corer (GKG) (URI: http://en.wikipedia.org/wiki/Box_corer) * COMMENT: 1 surface sample sedimentology; 1 surface sample archive; 2 core section: 0-0.29 m, 1 frozen subcore; 2x10 discrete samples from 0-26 cmbsf; 1 calcareous microfossil specimens sample; olive (5Y 4/4) mud, greenish material (pellets?), several brittle stars and unidentified calcareous microfossils on top
